drawDate,lotteryType,province,DB,DB_head,DB_tail,specialCodes,G1,G2,G3,G4,G5,G6,G7
2021-10-15,XSMB,"Hà Nội",64218,64,18,10LP|11LP|13LP|15LP|2LP|9LP,83454,31313|38671,29917|25742|92751|69235|89354|18149,3490|7166|1748|5327,8125|0201|3864|7447|0449|8020,432|412|974,88|42|48|34
2021-10-16,XSMB,"Hà Nội",66067,66,67,11LQ|13LQ|15LQ|3LQ|7LQ|8LQ,51010,58163|24893,22086|11007|59027|44020|89643|23923,3823|4029|6037|8722,4597|2086|4262|6785|2981|0394,970|084|208,56|38|14|07
2021-10-17,XSMB,"Hà Nội",24640,24,40,10LR|13LR|1LR|2LR|3LR|8LR,45261,28113|58334,67474|16929|59008|69755|58832|99823,4593|1833|4313|1612,5822|2237|7310|9461|9056|4393,518|407|906,23|78|70|15
2021-10-18,XSMB,"Hà Nội",11609,11,09,10LS|11LS|12LS|14LS|15LS|6LS,38670,75749|86248,01162|58433|67727|51232|94072|30268,2752|3870|5919|6155,1928|5396|5001|6818|0261|1009,747|489|116,34|31|71|00
2021-10-19,XSMB,"Hà Nội",86847,86,47,11LT|14LT|15LT|3LT|4LT|6LT,67039,11804|30501,17762|21068|71626|80934|72550|58345,4230|5354|7655|4600,3012|7903|4093|4880|0723|5191,824|718|423,67|42|89|98
2021-10-20,XSMB,"Hà Nội",56449,56,49,10LU|15LU|1LU|3LU|4LU|8LU,76644,26081|29056,10246|09333|44287|03397|31724|46347,5064|2617|1255|9438,5101|5329|9957|6899|7173|1079,078|211|930,93|72|10|29
2021-10-21,XSMB,"Hà Nội",93188,93,88,11LV|13LV|15LV|4LV|6LV|9LV,00442,02778|55348,93482|67157|21991|25308|09359|35527,0874|1320|1402|3657,8738|5467|4184|3797|7319|0977,082|955|126,20|58|65|28
2021-10-22,XSMB,"Hà Nội",56628,56,28,10LX|13LX|2LX|3LX|4LX|5LX,23615,74574|50353,31166|16493|70266|79071|61860|04844,1960|3013|8505|0372,3329|3862|4607|9661|8165|8670,220|319|205,17|82|79|06
2021-10-23,XSMB,"Hà Nội",73125,73,25,10LY|11LY|1LY|3LY|7LY|9LY,49150,11662|42636,77669|20758|90628|69376|07744|74090,1235|7306|4251|0219,2927|6946|7368|6598|0823|3611,608|961|594,81|31|85|93
2021-10-24,XSMB,"Hà Nội",44417,44,17,12LZ|1LZ|3LZ|5LZ|7LZ|9LZ,33926,36042|14446,00607|38945|83370|05592|10320|41963,1191|7465|0224|4762,9660|9802|5921|0674|3624|5013,828|294|558,52|97|53|58
2021-10-25,XSMB,"Hà Nội",69154,69,54,10MA|11MA|12MA|2MA|3MA|6MA,57088,08106|67288,33564|68976|30437|73523|04121|60949,3443|8831|3951|6357,4158|4526|6245|2568|3950|6621,425|055|981,28|30|12|54
2021-10-26,XSMB,"Hà Nội",75309,75,09,10MB|11MB|13MB|3MB|6MB|9MB,29545,67316|50608,06077|38587|54199|15606|18930|14980,8239|0619|3804|6025,1719|2313|6699|5523|1954|6972,582|542|501,50|61|83|91
2021-10-27,XSMB,"Hà Nội",92046,92,46,14MC|15MC|2MC|3MC|6MC|8MC,41811,48897|06816,12136|10194|66604|25468|22916|35760,6813|7060|6512|0466,5836|8148|5480|1722|8341|1074,427|683|514,46|07|64|09
2021-10-28,XSMB,"Hà Nội",47069,47,69,11MD|13MD|1MD|3MD|6MD|9MD,95366,66750|09727,01954|85053|03430|81189|84631|22915,6537|1438|7374|4532,6468|6503|0390|9204|5578|8820,194|368|612,20|26|08|31
2021-10-29,XSMB,"Hà Nội",67635,67,35,14ME|15ME|1ME|5ME|6ME|8ME,83186,46576|75207,37607|90787|01471|41670|48558|10786,6447|0420|5042|5225,5635|4481|0743|6322|5141|0007,967|431|346,96|09|43|65
2021-10-30,XSMB,"Hà Nội",24242,24,42,12MF|13MF|14MF|15MF|1MF|7MF,20699,81912|69142,75527|58228|40257|74944|16811|03318,3279|0851|3873|7153,3047|5555|4660|2064|1060|8087,441|563|253,07|88|55|30
2021-10-31,XSMB,"Hà Nội",54798,54,98,11MG|12MG|3MG|7MG|8MG|9MG,04294,72480|05721,82106|07376|62297|09493|66579|94247,4401|1797|5715|7824,9963|0196|1823|3341|7665|9561,626|139|472,62|35|58|65
2021-11-01,XSMB,"Hà Nội",03858,03,58,10MH|12MH|14MH|3MH|4MH|8MH,20567,69750|34589,65754|36377|18331|76250|09247|84704,1710|6620|2340|1625,1032|6922|6094|5404|5085|9777,352|249|084,07|84|11|31
2021-11-02,XSMB,"Hà Nội",29510,29,10,13MK|14MK|3MK|5MK|6MK|8MK,65284,10262|66333,48657|77171|08542|37647|01138|62330,1155|3361|1330|4113,4760|8547|5679|7991|6131|2925,027|566|450,66|36|96|10
2021-11-03,XSMB,"Hà Nội",07267,07,67,11ML|1ML|2ML|3ML|6ML|9ML,18214,36604|45461,30178|97124|17724|24779|77674|48280,4552|0450|3344|6928,9247|9087|8812|7576|5399|7902,050|978|222,91|56|69|39
2021-11-04,XSMB,"Hà Nội",34148,34,48,10MN|12MN|14MN|1MN|2MN|9MN,13354,26931|94183,12086|45847|38114|77107|75916|54097,9011|9665|1210|1072,0907|8827|7296|7927|6407|9324,547|894|035,41|45|71|57
2021-11-05,XSMB,"Hà Nội",66152,66,52,11MP|12MP|15MP|17MP|18MP|1MP|7MP|8MP,65766,01610|37587,67850|21069|37289|61589|14790|10276,7588|5664|3897|5600,2409|1347|2403|8443|9588|4431,334|575|643,38|02|90|85
2021-11-06,XSMB,"Hà Nội",19821,19,21,10MQ|14MQ|15MQ|4MQ|5MQ|6MQ,46754,25283|73708,40380|57211|84983|35372|66863|35876,0832|9805|0887|2710,1258|3192|8228|1259|1762|0737,902|704|983,61|89|03|29
2021-11-07,XSMB,"Hà Nội",91386,91,86,12MR|13MR|1MR|5MR|8MR|9MR,94379,44311|83179,06678|99680|13992|40551|83553|67313,8928|0461|1576|4272,5710|3641|9205|4572|6586|1243,931|455|549,76|65|11|75
2021-11-08,XSMB,"Hà Nội",94772,94,72,10MS|1MS|4MS|6MS|7MS|9MS,34396,28371|85901,67985|63742|33556|59451|92120|43046,1704|0824|9972|0045,0604|7671|4133|0662|0135|6590,935|839|605,38|60|90|99
2021-11-09,XSMB,"Hà Nội",71952,71,52,13MT|1MT|2MT|3MT|4MT|5MT,38113,49404|62456,78776|29210|17133|91667|44086|42109,3202|9254|4130|7525,5753|0323|8518|7744|1719|4247,021|744|319,80|62|37|32
2021-11-10,XSMB,"Hà Nội",43595,43,95,11MU|15MU|1MU|4MU|7MU|9MU,16549,57132|84372,15670|55432|05691|97496|48100|98921,7384|0606|4163|2810,4875|0087|5578|0863|7466|0519,267|811|781,71|60|53|76
2021-11-11,XSMB,"Hà Nội",33422,33,22,11MV|1MV|3MV|4MV|7MV|9MV,95524,05578|04349,99798|41156|04674|30672|01664|75968,5647|3282|3118|3426,7424|0661|6813|9648|1934|7761,119|020|440,93|04|00|12
2021-11-12,XSMB,"Hà Nội",04211,04,11,13MX|15MX|1MX|4MX|5MX|7MX,71230,58044|68437,80363|60261|49100|77271|53221|35588,7488|0466|1119|7107,9609|0695|9105|1244|0805|7957,966|246|923,49|72|93|12
2021-11-13,XSMB,"Hà Nội",55230,55,30,10MY|12MY|13MY|15MY|4MY|9MY,64965,40445|62471,68484|40688|04527|86291|39463|82529,6747|6958|4562|4302,4888|3771|7144|8315|3470|9812,899|533|548,20|70|60|83
2021-11-14,XSMB,"Hà Nội",53940,53,40,10MZ|12MZ|13MZ|14MZ|2MZ|9MZ,52169,96490|56413,75831|04901|40450|49876|41041|24500,6399|1620|0903|1337,4292|1228|9935|6934|3812|7727,057|640|516,14|16|23|01
2021-11-15,XSMB,"Hà Nội",77626,77,26,14NA|3NA|4NA|5NA|6NA|9NA,91372,87595|59730,52971|42147|97681|96197|75905|44819,4555|3907|9415|5446,6522|3955|0075|9059|5993|1531,727|027|573,97|34|27|94
2021-11-16,XSMB,"Hà Nội",41405,41,05,10NB|12NB|13NB|1NB|6NB|9NB,87612,81360|78282,43090|95046|94177|57356|18737|45633,8106|5174|1330|1368,6800|1629|8416|7121|7432|8895,159|505|895,46|83|68|30
2021-11-17,XSMB,"Hà Nội",99342,99,42,10NC|14NC|3NC|5NC|7NC|9NC,53462,60892|76010,08172|04710|89384|38556|56517|44121,6524|9263|8444|5561,8015|8646|4057|6037|3332|3728,192|729|801,87|23|66|46
2021-11-18,XSMB,"Hà Nội",04960,04,60,11ND|13ND|14ND|15ND|2ND|8ND,49665,04200|18541,27955|83010|45029|40506|20377|87002,6003|5169|6560|4282,9217|5644|4489|6692|1281|3506,698|013|396,40|73|53|30
2021-11-19,XSMB,"Hà Nội",68712,68,12,14NE|1NE|2NE|3NE|4NE|9NE,13056,06192|95012,99626|60787|11782|79716|23208|53805,0290|2799|2097|4884,9850|6342|4004|8986|6207|3442,222|826|366,03|82|30|28
2021-11-20,XSMB,"Hà Nội",45344,45,44,10NF|1NF|2NF|6NF|8NF|9NF,21508,06066|59634,49513|56671|11689|83633|67984|92762,9471|7021|0316|3821,2796|0373|0267|0441|1973|2143,390|006|414,15|66|18|71
2021-11-21,XSMB,"Hà Nội",47579,47,79,13NG|1NG|3NG|5NG|8NG|9NG,80977,62619|73610,77069|19970|43083|46530|54910|00973,6915|1634|5860|1873,4516|3281|8015|5447|5143|6006,529|575|563,15|64|68|10
2021-11-22,XSMB,"Hà Nội",36593,36,93,11NH|13NH|14NH|2NH|4NH|5NH,86008,02892|93784,96193|00431|04798|11596|69391|25226,5682|5393|1161|1866,5926|1362|3236|9701|3801|3369,539|668|928,38|80|33|47
2021-11-23,XSMB,"Hà Nội",24880,24,80,11NK|13NK|15NK|2NK|3NK|9NK,45683,59106|71511,29339|11331|12574|97909|05693|06437,5552|5223|4017|4698,0381|6589|7925|7789|5517|8799,763|216|142,80|39|31|54
2021-11-24,XSMB,"Hà Nội",85856,85,56,10NL|14NL|3NL|4NL|7NL|8NL,14730,32232|32652,00769|73055|50883|82745|99811|09085,6471|6503|8288|6323,0815|1047|2206|2694|1420|5992,070|761|587,79|70|40|74
2021-11-25,XSMB,"Hà Nội",64313,64,13,14NM|2NM|3NM|4NM|6NM|9NM,28994,65124|50348,13101|67857|72232|05175|52084|25433,8885|3201|6746|5644,5395|9270|4315|6236|3755|2130,792|890|523,52|59|36|55
2021-11-26,XSMB,"Hà Nội",81610,81,10,12NP|14NP|15NP|2NP|5NP|7NP,43572,02830|70461,10642|43979|44974|44345|44745|54146,1308|4893|1941|9021,0564|8667|1756|5363|6795|2527,376|932|698,29|72|64|60
2021-11-27,XSMB,"Hà Nội",27824,27,24,12NQ|14NQ|2NQ|7NQ|8NQ|9NQ,84009,82571|36444,62617|24216|69075|57195|88289|20666,1984|1591|9714|1985,0540|8461|1798|7825|9488|4444,105|680|444,36|27|73|18
2021-11-28,XSMB,"Hà Nội",55988,55,88,12NR|14NR|1NR|4NR|5NR|7NR,58593,79190|06541,69290|71067|80595|75378|89706|51988,6592|6857|7846|0995,3816|0245|6521|3543|7702|5803,294|403|163,00|40|82|69
2021-11-29,XSMB,"Hà Nội",28087,28,87,10NS|11NS|13NS|6NS|7NS|8NS,28734,42697|92424,88531|06240|08427|38904|60466|38413,1380|0500|3420|5187,1688|9543|9990|2526|0475|9035,663|910|260,64|21|63|73
2021-11-30,XSMB,"Hà Nội",71738,71,38,11NT|13NT|14NT|3NT|4NT|5NT,38779,84283|61798,41376|90496|20265|95443|47296|52192,6327|3658|0772|2981,4403|8303|6050|0468|8166|1738,975|730|557,60|76|85|41
2021-12-01,XSMB,"Hà Nội",62712,62,12,10NU|1NU|4NU|5NU|7NU|9NU,70945,26438|57221,09918|08592|11995|12421|98540|52751,3188|7829|8910|2040,3005|1798|8185|9883|7738|4979,193|717|085,76|77|99|41
2021-12-02,XSMB,"Hà Nội",27587,27,87,11NV|3NV|4NV|5NV|8NV|9NV,50645,79067|60923,63031|28146|15696|99312|65915|66228,6734|2387|1842|6165,1141|0302|0383|9206|9080|7792,402|014|250,00|25|56|21
2021-12-03,XSMB,"Hà Nội",85507,85,07,12NX|2NX|3NX|4NX|5NX|6NX,09681,03790|53917,20926|31086|34274|91735|41574|37041,3147|7281|0582|1810,6174|9325|9861|5010|5976|9663,661|456|229,12|03|42|45
2021-12-04,XSMB,"Hà Nội",69447,69,47,11NY|12NY|16NY|17NY|1NY|20NY|2NY|3NY,79564,67185|37015,90626|37197|08177|12231|21145|06084,5369|8009|1163|9386,8386|9197|9257|5228|5653|4035,462|760|859,33|76|97|73
2021-12-05,XSMB,"Hà Nội",04329,04,29,13NZ|15NZ|2NZ|4NZ|5NZ|9NZ,46537,20032|37910,39991|13198|22446|49429|73670|17284,6997|0716|2654|4165,6159|5843|0395|0951|3894|1708,550|769|585,85|65|94|18
2021-12-06,XSMB,"Hà Nội",71784,71,84,10PA|12PA|15PA|5PA|6PA|8PA,58418,23447|01806,65836|21704|16537|65615|68400|23359,9412|7222|5434|4467,0963|3708|3113|4910|3142|3068,479|806|861,72|76|83|26
2021-12-07,XSMB,"Hà Nội",63631,63,31,10PB|12PB|15PB|1PB|5PB|6PB,21137,92061|00564,09223|86442|04874|28359|58262|39578,0281|1912|4639|0200,4662|0254|1623|1341|4076|7415,293|640|111,33|00|54|59
2021-12-08,XSMB,"Hà Nội",29115,29,15,11PC|14PC|15PC|3PC|5PC|6PC,43952,36600|38923,87458|81344|94627|22185|45819|73892,4696|1887|4053|3248,3562|5881|6549|7199|3795|3803,896|267|012,62|64|80|17
2021-12-09,XSMB,"Hà Nội",34346,34,46,11PD|14PD|1PD|2PD|8PD|9PD,19051,87023|83795,78220|36843|65736|45773|96380|44961,8855|5668|0894|9875,2049|4800|4733|6292|7887|1521,188|852|248,24|12|49|33
2021-12-10,XSMB,"Hà Nội",25206,25,06,10PE|13PE|14PE|3PE|6PE|9PE,17375,91369|55172,32193|07546|44624|80065|67381|27874,0103|1461|2911|3461,9995|8589|6530|5877|3327|7651,045|724|876,32|24|81|06
2021-12-11,XSMB,"Hà Nội",34925,34,25,3PF|4PF|6PF|7PF|8PF|9PF,66287,41770|12544,18170|38758|75035|94902|77298|17620,6101|8407|5257|6905,0203|3117|7494|7510|9467|9773,565|096|051,59|03|29|57
2021-12-12,XSMB,"Hà Nội",09055,09,55,11PG|13PG|15PG|2PG|5PG|7PG,84112,11840|03976,71860|11774|54980|93505|94222|49113,2073|5854|9453|7393,5672|6755|0497|2688|5943|6618,922|771|821,70|21|81|76
2021-12-13,XSMB,"Hà Nội",98112,98,12,11PH|12PH|13PH|1PH|4PH|7PH,05580,38803|36181,22076|34652|66751|83889|93131|55604,4168|4332|9186|8357,1214|4237|1101|8312|3838|4994,352|141|260,53|16|32|54
2021-12-14,XSMB,"Hà Nội",27700,27,00,11PK|14PK|1PK|2PK|6PK|9PK,75684,60501|40261,74661|19941|74787|51062|07012|20285,9090|3486|0991|6311,3817|4781|9367|7904|4890|1745,804|089|762,06|65|09|85
2021-12-15,XSMB,"Hà Nội",96009,96,09,10PL|11PL|3PL|4PL|6PL|8PL,44382,87663|47779,74477|15968|09011|33834|70482|41067,4831|1977|8411|9709,3608|0942|3047|2177|7314|9471,379|642|166,53|32|45|27
2021-12-16,XSMB,"Hà Nội",43032,43,32,12PM|13PM|14PM|1PM|6PM|8PM,62190,86553|39034,88164|08915|88997|73970|71091|22920,2383|1532|7872|0168,9479|4217|0408|9817|5963|3325,311|015|241,29|11|67|26
2021-12-17,XSMB,"Hà Nội",73157,73,57,10PN|15PN|1PN|3PN|4PN|6PN,74230,24770|58688,21119|11304|94493|86130|32605|31704,4407|7337|7600|4956,0976|1802|5585|9481|2544|9142,123|746|239,44|99|39|43
2021-12-18,XSMB,"Hà Nội",70830,70,30,14PQ|1PQ|5PQ|6PQ|8PQ|9PQ,04892,04754|85322,12679|63850|06772|83676|12775|16697,9827|8685|4376|2528,1250|7372|6999|5007|0894|0220,288|367|632,05|91|34|48
2021-12-19,XSMB,"Hà Nội",07173,07,73,12PR|1PR|3PR|4PR|6PR|7PR,67135,68370|81207,59742|46025|50125|64189|32523|62069,2766|3914|6249|3093,2270|7269|6420|0645|2929|4178,209|145|919,89|04|63|87
2021-12-20,XSMB,"Hà Nội",74271,74,71,13PS|14PS|3PS|4PS|5PS|8PS,26961,35753|96442,60703|88979|73375|50539|81437|41427,0547|9452|7293|1371,2823|4017|9148|5520|8724|3399,599|179|590,90|70|31|27
2021-12-21,XSMB,"Hà Nội",38683,38,83,10PT|11PT|13PT|14PT|15PT|6PT,47122,19823|37752,44866|15427|58156|66394|31824|52471,4314|0566|7431|5435,4259|1246|1621|0179|2271|1547,081|901|741,56|80|36|44
2021-12-22,XSMB,"Hà Nội",09078,09,78,10PU|13PU|14PU|4PU|7PU|9PU,85552,35444|38881,54633|31208|54011|62244|64328|13749,0511|7613|2562|2478,4668|4642|4046|8123|1017|3403,425|222|603,02|28|73|64
2021-12-23,XSMB,"Hà Nội",78708,78,08,10PV|12PV|1PV|2PV|3PV|4PV,39168,13761|89105,23621|29580|54680|14680|37600|55979,5511|2514|4271|7273,8798|5224|0699|1721|1017|9385,787|277|958,05|63|34|77
2021-12-24,XSMB,"Hà Nội",37223,37,23,10PX|13PX|14PX|15PX|5PX|9PX,92676,33618|21003,29431|38762|89436|38652|21528|63425,6270|7340|6046|1300,2750|5052|2849|0358|4009|7390,579|581|693,71|33|15|37
2021-12-25,XSMB,"Hà Nội",31424,31,24,10PY|11PY|12PY|14PY|4PY|5PY,17010,80467|03632,60531|33263|00578|67788|20038|71776,1788|1568|9792|9967,2711|5476|3117|8706|5029|6938,580|178|730,43|32|68|89
2021-12-26,XSMB,"Hà Nội",57404,57,04,10PZ|14PZ|15PZ|1PZ|2PZ|9PZ,22685,19749|35152,76616|09073|66644|21951|56597|73381,9434|5291|5708|3016,1074|1367|8744|0943|5574|7412,283|620|994,46|14|03|94
2021-12-27,XSMB,"Hà Nội",56903,56,03,10QA|11QA|15QA|2QA|4QA|6QA,23361,78522|53076,19790|15181|03160|10249|85789|79006,0298|9266|5764|2316,7314|8599|2342|4868|5337|9342,257|863|468,49|82|85|36
2021-12-28,XSMB,"Hà Nội",04703,04,03,12QB|13QB|2QB|5QB|6QB|7QB,53971,20116|86688,22795|66305|14632|64342|58568|95593,0417|8576|5089|6568,8013|1461|8956|1622|3331|4234,935|332|690,05|64|74|26
2021-12-29,XSMB,"Hà Nội",13977,13,77,12QC|13QC|15QC|1QC|7QC|8QC,34852,54309|98902,98841|61545|24183|95816|39512|48316,3788|9307|7068|3241,3005|8390|9069|3853|2746|2257,595|243|069,23|94|14|12
2021-12-30,XSMB,"Hà Nội",62033,62,33,12QD|13QD|14QD|2QD|5QD|9QD,86170,66387|22954,85860|64501|10758|01578|50933|41644,8191|6435|2915|1993,2678|3667|6402|8797|4676|9669,874|050|826,45|02|57|35
2021-12-31,XSMB,"Hà Nội",24147,24,47,10QE|13QE|15QE|18QE|20QE|5QE|8QE|9QE,35164,87843|42697,22411|02874|67669|03425|54307|07126,8465|1766|0490|9892,0188|3269|6892|2498|1980|6400,848|991|747,00|37|75|30
2022-01-01,XSMB,"Hà Nội",10676,10,76,12QF|1QF|2QF|3QF|4QF|7QF,86295,05069|04999,99344|69011|19745|52465|88708|22792,5082|6749|4377|9508,2882|7999|8705|6962|6971|3666,221|107|086,10|56|62|07
2022-01-02,XSMB,"Hà Nội",93494,93,94,10QG|13QG|15QG|3QG|8QG|9QG,32969,99121|71440,22171|48176|58055|34589|72429|85524,0700|2242|0851|6988,5309|9500|3344|4087|7992|8848,732|286|441,16|07|41|57
2022-01-03,XSMB,"Hà Nội",37061,37,61,11QH|13QH|15QH|17QH|18QH|1QH|6QH|8QH,02804,28975|91130,23859|45389|77521|89766|65789|02471,0547|0571|3966|5502,9266|7234|0119|6292|5499|2971,138|977|988,27|74|34|72
2022-01-04,XSMB,"Hà Nội",46330,46,30,10QK|11QK|15QK|1QK|4QK|5QK,69665,09490|46504,78220|76475|21736|66154|94894|87492,9464|0146|2976|5846,9705|8474|6756|0819|0264|4584,707|544|651,99|73|25|64
2022-01-05,XSMB,"Hà Nội",10619,10,19,11QL|15QL|2QL|5QL|7QL|9QL,38905,13039|16537,26887|43941|68365|54760|52668|45771,5792|9969|1687|3575,2988|1861|0459|7330|4770|1692,588|225|041,50|56|28|84
2022-01-06,XSMB,"Hà Nội",98437,98,37,10QM|15QM|2QM|3QM|7QM|9QM,25100,22368|37271,88300|09721|07843|60532|26375|91059,8338|0498|7206|4444,8135|6179|9356|3436|8678|8451,783|240|946,95|72|77|30
2022-01-07,XSMB,"Hà Nội",33657,33,57,13QN|1QN|2QN|3QN|5QN|8QN,64428,76753|78236,08301|43232|45167|12813|87318|97658,1604|7530|3791|3633,3764|9452|9303|1864|7747|7150,848|337|163,14|31|60|02
2022-01-08,XSMB,"Hà Nội",98969,98,69,10QP|13QP|2QP|3QP|4QP|7QP,23581,44733|01226,53795|66447|03359|59893|65054|29726,6825|9365|0735|8228,2034|2684|7729|8355|8622|8049,228|027|881,30|23|57|04
2022-01-09,XSMB,"Hà Nội",93093,93,93,11QR|13QR|3QR|6QR|7QR|8QR,19538,79022|49827,44287|07811|05156|32900|08978|48516,9562|1906|3796|9453,5420|9786|9144|1425|2684|6836,794|635|287,19|02|14|86
2022-01-10,XSMB,"Hà Nội",08845,08,45,12QS|14QS|15QS|1QS|2QS|7QS,40173,66686|03977,56864|06136|53050|68948|67981|42681,3082|1043|9596|7307,0821|8322|1624|7933|0535|1263,163|873|955,64|54|52|06
2022-01-11,XSMB,"Hà Nội",55427,55,27,11QT|15QT|3QT|4QT|5QT|9QT,66440,04497|26217,87288|28816|41205|76738|17789|59707,3224|5561|6035|1109,7052|3158|2352|9539|6108|4431,252|489|803,89|10|02|99
2022-01-12,XSMB,"Hà Nội",88903,88,03,10QU|14QU|15QU|1QU|7QU|8QU,02061,93869|59013,92993|06177|46619|09194|97034|31473,6118|3319|7592|2055,8692|8116|0453|5091|3093|5985,551|560|756,20|41|49|07
2022-01-13,XSMB,"Hà Nội",46638,46,38,12QV|1QV|3QV|4QV|5QV|8QV,89412,72737|87756,57974|99595|91718|18521|91484|48820,4595|0551|1782|4512,9965|8258|5690|5901|9239|9036,312|881|528,28|88|04|08
2022-01-14,XSMB,"Hà Nội",87219,87,19,10QX|12QX|14QX|1QX|3QX|6QX,41662,25784|04591,53967|29518|49002|23626|19804|68246,2270|0353|0360|0778,5711|8416|3292|9334|8232|4238,229|597|329,30|67|18|05
2022-01-15,XSMB,"Hà Nội",20222,20,22,10QY|11QY|14QY|15QY|2QY|9QY,22217,31826|17040,39391|25127|54893|33552|39862|77061,9838|6844|4719|2280,4107|4023|5944|9446|6904|4687,877|004|172,27|09|80|87
2022-01-16,XSMB,"Hà Nội",55431,55,31,10QZ|14QZ|1QZ|3QZ|7QZ|8QZ,77267,00522|27414,99699|08029|09515|38356|07933|83348,7601|7982|6403|4639,2802|2552|4355|0548|4218|5636,388|349|939,18|64|63|13
2022-01-17,XSMB,"Hà Nội",88041,88,41,10RA|12RA|15RA|3RA|5RA|6RA,36730,73089|38298,65757|45175|30708|86796|92638|82598,7621|2164|0664|0022,3870|3305|1752|1265|5131|5477,099|539|479,09|17|44|39
2022-01-18,XSMB,"Hà Nội",46384,46,84,11RB|12RB|14RB|4RB|7RB|8RB,25306,69864|13585,02154|92020|72481|99996|31657|99642,8470|5095|0718|6124,3254|4223|3465|8258|1568|2404,772|095|306,78|90|92|74
2022-01-19,XSMB,"Hà Nội",76930,76,30,12RC|14RC|1RC|3RC|4RC|6RC,48843,41006|76053,77833|47386|77768|37997|13541|78878,8261|3990|8384|7358,1925|0958|1946|9108|8203|1335,938|896|778,93|91|60|54
2022-01-20,XSMB,"Hà Nội",71085,71,85,10RD|13RD|15RD|3RD|5RD|7RD,18328,78797|48541,46956|56008|54100|55367|39190|50473,5382|2316|9902|5825,7643|2127|0441|0554|6448|9387,138|764|484,49|41|71|25
2022-01-21,XSMB,"Hà Nội",78645,78,45,10RE|1RE|2RE|4RE|5RE|8RE,59320,60922|13571,98561|36592|08310|87527|69546|91981,5148|3989|1540|4501,7830|7306|3903|7908|8651|4668,702|963|616,54|12|11|48
2022-01-22,XSMB,"Hà Nội",74954,74,54,10RF|11RF|13RF|3RF|5RF|8RF,64284,86741|45640,49737|53910|37345|51290|51202|92492,7745|7307|1323|9995,8659|2794|5605|4643|3851|2769,026|826|606,22|62|04|33
2022-01-23,XSMB,"Hà Nội",28383,28,83,10RG|11RG|1RG|2RG|8RG|9RG,09696,00909|27455,68347|09492|25972|11031|26729|03005,2599|6455|7184|6040,6105|7900|3718|8382|4527|3104,179|158|828,40|60|01|89
2022-01-24,XSMB,"Hà Nội",97132,97,32,11RH|13RH|15RH|1RH|2RH|5RH,87646,25260|21753,28002|83308|98610|04093|44259|70497,3752|6705|8678|4699,4697|8502|1413|4963|1700|8258,594|825|198,62|67|77|25
2022-01-25,XSMB,"Hà Nội",20653,20,53,13RK|15RK|16RK|18RK|19RK|6RK|8RK|9RK,56333,40038|34350,96331|94252|45089|47136|73920|77538,5521|5976|3423|6058,6515|0744|5366|9798|2399|6968,024|059|767,97|89|00|05
2022-01-26,XSMB,"Hà Nội",98409,98,09,10RL|13RL|14RL|1RL|2RL|4RL,61525,04729|15344,99637|27607|54052|79037|87494|62664,9685|3585|8401|9944,2343|8963|6818|6319|9068|7270,924|747|122,71|92|43|55
2022-01-27,XSMB,"Hà Nội",16440,16,40,11RM|12RM|13RM|4RM|5RM|6RM,64351,31055|80371,49994|58565|01658|91439|28870|57232,0349|9321|0866|1740,2214|4528|9328|5316|2625|0233,801|922|679,47|76|01|71
2022-01-28,XSMB,"Hà Nội",83926,83,26,10RN|12RN|13RN|1RN|5RN|9RN,91357,14079|28422,18875|34660|74576|47998|24338|82976,7074|7574|8417|7913,8128|5472|1208|9379|9779|0046,119|151|836,39|16|55|58
2022-01-29,XSMB,"Hà Nội",11699,11,99,11RP|12RP|15RP|1RP|4RP|9RP,54461,49501|99545,10616|29241|44969|55351|66918|45933,7153|8778|9953|9389,4796|5040|0122|6501|9640|1381,933|418|943,24|39|16|06
2022-01-30,XSMB,"Hà Nội",67466,67,66,10RQ|4RQ|5RQ|6RQ|8RQ|9RQ,25936,67114|14594,58230|84723|93762|84518|90668|46769,7681|0020|0777|0171,1398|5257|8364|2373|7512|0837,445|401|809,97|58|40|80
2022-02-04,XSMB,"Hà Nội",67147,67,47,14RS|17RS|18RS|1RS|21RS|23RS|3RS|4RS|5RS|6RS,53734,86249|72294,09607|16787|17869|94976|18683|21001,0865|3886|8886|6797,2959|2489|7808|6640|5032|4912,327|409|806,95|39|70|43
2022-02-05,XSMB,"Hà Nội",23184,23,84,10RT|12RT|14RT|15RT|2RT|5RT,05762,16743|02525,62414|35157|88697|58380|85562|90480,2193|2251|2865|9824,3062|8273|5780|0299|9274|2402,047|926|523,37|98|24|48
2022-02-06,XSMB,"Hà Nội",76101,76,01,10RU|11RU|2RU|5RU|6RU|7RU,88297,56861|23554,36827|78164|08016|55326|31733|02164,0665|4432|8410|8511,5460|3101|7585|4106|4340|4028,502|229|704,52|31|88|48
2022-02-07,XSMB,"Hà Nội",28958,28,58,10RX|11RX|14RX|6RX|7RX|8RX,15942,30612|36819,89847|56332|73799|66957|82871|23981,1732|7397|8652|9002,1053|6492|4591|0977|9654|8105,951|362|564,79|07|20|25
2022-02-08,XSMB,"Hà Nội",96534,96,34,10RY|12RY|13RY|14RY|16RY|17RY|6RY|8RY,58233,31050|09227,95291|69871|25663|51289|81639|03997,5998|9567|1719|1272,6835|4277|8141|6814|0511|4405,094|730|644,46|70|00|81
