drawDate,lotteryType,province,DB,DB_head,DB_tail,G1,G2,G3,G4,G5,G6,G7
2020-01-17,XSMT,"Gia Lai",325302,32,02,72319,76085|23943,85559|56019|12325|32778|48425|51163|85938,5608,1885|7137|7997,568,83
2020-01-17,XSMT,"Ninh Thuận",750515,75,15,02473,10788|67278,02509|04401|27268|57942|17882|70751|70653,5894,0414|6645|4960,852,03
2020-01-18,XSMT,"Đà Nẵng",874665,87,65,78947,65315|88105,86296|57703|47618|69166|11019|39888|54392,5746,7448|2861|6105,512,89
2020-01-18,XSMT,"Quảng Ngãi",886840,88,40,63845,89888|95191,92065|76575|79273|00462|58617|43038|41623,3186,0487|1036|0341,811,88
2020-01-18,XSMT,"Đắk Nông",365936,36,36,84496,52911|99080,97764|63041|66299|01140|24096|57937|39931,9335,3795|2246|3696,934,20
2020-01-19,XSMT,"Khánh Hòa",606142,60,42,29756,66835|28543,64041|23718|94598|71639|67477|32510|61939,7154,6219|3637|2514,364,80
2020-01-19,XSMT,"Kon Tum",333664,33,64,68901,19704|49006,47627|86403|67540|12549|58644|12742|75360,3724,3502|3470|6242,214,89
2020-01-20,XSMT,"Phú Yên",264821,26,21,60301,11330|34164,15337|79007|75936|73245|16004|86600|66389,3194,5687|0247|6500,352,91
2020-01-20,XSMT,"Huế",029735,02,35,29179,94276|57102,40124|28100|12322|06990|78741|64731|88971,4406,7602|4752|3585,384,84
2020-01-21,XSMT,"Đắk Lắk",773741,77,41,60057,13334|59305,98611|67368|78715|33351|71178|81128|25314,5076,6956|3488|7952,877,53
2020-01-21,XSMT,"Quảng Nam",927193,92,93,67742,99399|21530,52156|34677|47833|68552|81092|82483|14384,2537,2213|6897|4671,658,56
2020-01-22,XSMT,"Đà Nẵng",712907,71,07,30560,03829|81552,68289|86970|75058|30194|43462|86057|29636,9804,4560|1012|5459,960,17
2020-01-22,XSMT,"Khánh Hòa",808803,80,03,92981,44030|84241,78728|37913|32568|85357|59453|11673|28946,1575,3998|2461|7808,116,81
2020-01-23,XSMT,"Quảng Bình",718035,71,35,48124,16679|09491,69527|97988|51788|75642|02966|96988|30161,4181,1997|6294|6270,561,68
2020-01-23,XSMT,"Bình Định",808407,80,07,82088,34790|71356,34300|64523|97798|73233|49674|51704|02913,4314,6270|7016|6019,406,43
2020-01-23,XSMT,"Quảng Trị",505760,50,60,64786,46334|16344,76107|95571|95788|72505|86256|35939|83075,1461,2626|3003|2572,231,20
2020-01-24,XSMT,"Gia Lai",433603,43,03,04324,55075|11932,87776|11390|85987|01326|72273|50562|24328,3415,9551|8558|3002,919,85
2020-01-24,XSMT,"Ninh Thuận",750822,75,22,89649,35783|64019,09897|58549|25647|15076|54484|46239|33338,8735,2035|2849|0186,452,83
2020-01-25,XSMT,"Đà Nẵng",068304,06,04,39434,66005|99665,21379|48522|52364|31509|89878|94161|32075,2182,5529|4788|5059,771,72
2020-01-25,XSMT,"Quảng Ngãi",229195,22,95,82084,20290|04970,67206|20500|79327|11283|49699|76551|52371,0684,3756|5051|1089,545,57
2020-01-25,XSMT,"Đắk Nông",097629,09,29,96562,42485|62355,20912|63215|51001|78332|85544|76410|81332,3581,0020|1848|3012,169,52
2020-01-26,XSMT,"Khánh Hòa",521281,52,81,44366,99921|19190,52184|30449|21512|85948|43049|87935|09106,3415,8170|8947|7875,284,56
2020-01-26,XSMT,"Kon Tum",768587,76,87,25065,16415|80172,49831|30323|06614|29295|89221|34713|14328,0910,8761|2834|3368,121,91
2020-01-27,XSMT,"Phú Yên",307324,30,24,94487,42022|02320,32651|14316|24397|01257|74393|34788|08274,8586,5145|9569|5298,893,18
2020-01-27,XSMT,"Huế",467901,46,01,11902,67637|54058,51169|74994|46319|51630|10600|21128|01592,8206,2087|1907|5025,872,70
2020-01-28,XSMT,"Đắk Lắk",561007,56,07,86080,31707|73301,84225|76499|31928|58140|19855|15133|61689,5142,2933|4677|2335,014,77
2020-01-28,XSMT,"Quảng Nam",228449,22,49,97635,89910|81689,59551|40802|41692|90057|47602|46012|05741,1117,6457|0781|9934,877,92
2020-01-29,XSMT,"Đà Nẵng",894266,89,66,67568,58509|35804,68427|38461|97228|84331|53011|54531|22206,8641,8004|0677|0220,627,14
2020-01-29,XSMT,"Khánh Hòa",797386,79,86,72188,28083|93736,23185|69580|96007|78495|89815|47199|07436,7248,1045|1760|1490,070,52
2020-01-30,XSMT,"Quảng Bình",243008,24,08,49523,82758|84676,19537|83601|59978|20093|77262|91125|65622,4627,8885|6939|3063,813,76
2020-01-30,XSMT,"Bình Định",624288,62,88,17447,97059|29065,30237|17013|96809|55741|78015|34261|96006,5552,1904|7788|9685,354,06
2020-01-30,XSMT,"Quảng Trị",670044,67,44,78487,24219|93205,34057|88488|91873|99384|73197|14282|74297,8797,6498|5899|7200,600,48
2020-01-31,XSMT,"Gia Lai",592566,59,66,00416,02378|81769,08014|03714|52811|73626|60284|86599|04068,2960,1504|2248|0655,540,21
2020-01-31,XSMT,"Ninh Thuận",898384,89,84,77500,30858|30460,69922|73762|06762|85845|63332|97127|29922,1130,3138|4675|5431,224,84
2020-02-01,XSMT,"Đà Nẵng",730357,73,57,79158,60692|62900,06265|04748|25335|47563|02423|68431|62685,2220,3672|9985|2527,249,88
2020-02-01,XSMT,"Quảng Ngãi",386618,38,18,91158,19872|31283,94421|51390|48415|01585|16438|35617|39592,5483,6939|1971|5639,467,69
2020-02-01,XSMT,"Đắk Nông",954869,95,69,87610,24040|67456,47536|92532|63015|54871|01524|41309|27649,8771,1626|7595|2537,578,63
2020-02-02,XSMT,"Khánh Hòa",750166,75,66,71224,19884|93125,26897|17420|51547|57112|61719|05154|84033,9066,3900|4261|2815,552,32
2020-02-02,XSMT,"Kon Tum",488635,48,35,78979,88017|05632,06147|34213|73753|31167|74360|19780|45024,7878,7397|4845|7002,897,99
2020-02-03,XSMT,"Phú Yên",901237,90,37,23148,31875|35438,58101|21957|06817|67185|32008|72339|49426,3441,1030|0302|6708,573,88
2020-02-03,XSMT,"Huế",810522,81,22,01391,60291|95587,16015|83955|38377|85836|55040|15638|95041,4019,1535|8540|2270,330,19
2020-02-04,XSMT,"Đắk Lắk",902892,90,92,51240,80795|16058,41629|91238|45284|63455|82288|83879|65310,3437,7019|0909|2032,020,78
2020-02-04,XSMT,"Quảng Nam",074622,07,22,69144,22990|43931,87454|53443|55685|80132|31013|00583|44756,9640,4321|5410|6363,104,97
