drawDate,lotteryType,province,DB,DB_head,DB_tail,specialCodes,G1,G2,G3,G4,G5,G6,G7
5/31/2023,XSMN,Sóc Trăng,839121,83,21,,99058,49510|39535,02979|06496|02309|29585|36834|83878|78623,2187,3044|6803|4086,651,91
6/1/2023,XSMN,Tây Ninh,196337,19,37,,83475,35595|25343,16223|80721|02211|00829|86451|24258|55524,1934,5545|4022|2465,366,59
6/1/2023,XSMN,An Giang,100086,10,86,,34391,49099|43305,88835|15903|49598|60603|51514|71171|69248,1353,5116|0180|4734,143,68
6/1/2023,XSMN,Bình Thuận,840109,84,9,,5003,48969|22804,12182|87363|82940|20354|97578|73537|58506,6077,5274|2853|8672,506,8
6/2/2023,XSMN,Vĩnh Long,608610,60,10,,41892,02751|86763,79462|55647|97354|50492|22857|76349|05303,1626,0293|6388|9516,716,16
6/2/2023,XSMN,Bình Dương,291727,29,27,,695,40688|40021,09764|85471|77777|52998|76877|02760|33896,3830,1863|1661|4769,417,69
6/2/2023,XSMN,Trà Vinh,60152,6,52,,20114,75272|79020,27514|70617|84663|64069|02849|39341|84024,3529,2701|7555|6055,203,55
6/3/2023,XSMN,TPHCM,331639,33,39,,12430,77105|18824,24273|96010|32536|79016|58375|08815|41639,8592,9319|5879|8421,96,20
6/3/2023,XSMN,Long An,63233,6,33,,41938,53414|99605,53259|95294|35263|38069|10158|45386|66212,8672,1552|9759|2554,463,5
6/3/2023,XSMN,Bình Phước,475175,47,75,,22093,36254|64150,09954|60681|00135|88618|32245|64223|75079,4325,0179|9477|4639,858,48
6/3/2023,XSMN,Hậu Giang,384051,38,51,,65375,25939|78448,84000|41947|36256|00846|11960|22321|83197,9245,7541|9019|9780,633,26
6/4/2023,XSMN,Tiền Giang,585165,58,65,,69890,52190|09635,07713|00139|87898|00553|85539|61542|57346,7108,5704|6837|1529,694,35
6/4/2023,XSMN,Kiên Giang,853973,85,73,,73891,31614|26630,92356|56126|35101|31635|61185|58271|06277,7153,8374|3070|1797,97,18
6/4/2023,XSMN,Đà Lạt,560921,56,21,,840,32101|35138,51403|03058|02378|83624|93123|29168|26640,5252,7946|9425|9204,860,78
6/5/2023,XSMN,TPHCM,204147,20,47,,50891,72092|98840,97539|50838|84886|08834|35653|43973|28308,6044,5365|6729|1126,107,2
6/5/2023,XSMN,Đồng Tháp,898030,89,30,,39932,10037|31343,07221|43346|47089|14847|53197|75496|01311,492,8099|0178|3305,589,48
6/5/2023,XSMN,Cà Mau,455494,45,94,,15630,40458|51490,39719|58125|87710|35139|32956|51925|27375,176,5526|7327|4955,423,74
6/6/2023,XSMN,Bến Tre,267164,26,64,,6961,56854|60438,91989|93667|05913|47224|77669|09379|80866,7057,7051|3748|4932,443,3
6/6/2023,XSMN,Vũng Tàu,264625,26,25,,17445,05909|04851,06210|77234|06123|43599|57816|43398|86714,9322,0423|1312|9175,278,32
6/6/2023,XSMN,Bạc Liêu,369728,36,28,,92096,42520|37239,67352|02081|40422|45675|60768|18371|07372,6359,4659|1303|5350,56,93
6/7/2023,XSMN,Đồng Nai,977881,97,81,,45983,74261|35961,03043|42564|40345|98814|95558|63416|30926,8215,4285|8531|7230,492,50
6/7/2023,XSMN,Cần Thơ,326237,32,37,,53551,13443|64865,80131|81929|63608|21342|95752|78667|30736,9199,5661|2727|8623,618,19
6/7/2023,XSMN,Sóc Trăng,283959,28,59,,68864,12717|46602,22282|88740|26648|29306|44686|21503|55988,7793,7471|0118|6701,933,56
6/8/2023,XSMN,Tây Ninh,328702,32,2,,82527,88515|90231,27169|55221|39503|01730|42883|21709|67858,4802,5912|2333|1342,957,11
6/8/2023,XSMN,An Giang,141380,14,80,,9211,74729|48171,15085|52655|75491|54710|88455|21900|54389,1829,3537|0814|5850,699,45
6/8/2023,XSMN,Bình Thuận,905511,90,11,,70792,20594|14122,01620|92056|92323|30169|07206|75943|98857,3875,6263|0535|3071,144,34
6/9/2023,XSMN,Vĩnh Long,29287,2,87,,7777,70657|79160,27131|37986|05911|07630|49363|41445|73988,3768,2152|0164|3596,100,46
6/9/2023,XSMN,Bình Dương,789614,78,14,,72216,23601|69487,23308|72430|03966|40800|13582|68962|22013,9672,2282|2003|5159,213,82
6/9/2023,XSMN,Trà Vinh,241070,24,70,,59564,27876|63462,82964|88879|46225|82577|06020|11605|12296,2795,6548|3478|5086,148,98
6/10/2023,XSMN,TPHCM,566939,56,39,,22349,03901|58296,80833|06613|18284|45581|25896|27156|59234,7502,9263|8852|3244,233,22
6/10/2023,XSMN,Long An,894926,89,26,,89069,13036|93293,42722|21521|44203|58610|98704|26060|22468,5511,7693|8719|1190,798,94
6/10/2023,XSMN,Bình Phước,554461,55,61,,89261,36883|97461,25415|62072|26850|48071|93539|26286|44706,5653,9080|1745|2885,607,32
6/10/2023,XSMN,Hậu Giang,597759,59,59,,85960,68394|08103,76381|95273|00497|83390|14455|35313|57224,5808,5705|7555|3179,893,57
6/11/2023,XSMN,Tiền Giang,128191,12,91,,32251,38833|63870,75568|45251|62121|97331|31789|61050|48863,5136,1656|2405|8240,726,0
6/11/2023,XSMN,Kiên Giang,723057,72,57,,1440,17797|75129,03863|83845|66896|13216|77413|02265|01876,5654,5921|9081|8373,572,70
6/11/2023,XSMN,Đà Lạt,869817,86,17,,64753,69302|08084,54339|44018|50279|74949|67916|75278|73294,4057,9937|5739|4367,938,91
6/12/2023,XSMN,TPHCM,457618,45,18,,20095,60476|05945,13305|89043|39523|17238|76691|28329|63677,9737,6500|2621|5986,401,78
6/12/2023,XSMN,Đồng Tháp,918358,91,58,,67597,04222|23341,22215|10836|00854|42195|00262|20118|73582,7411,7288|6619|9564,932,70
6/12/2023,XSMN,Cà Mau,431248,43,48,,11032,83098|47709,56730|62844|90265|64392|37112|99058|51189,6365,2721|6306|2033,251,63
6/13/2023,XSMN,Bến Tre,339016,33,16,,3982,89203|76272,36423|39761|43226|82782|27367|13266|69185,6986,3367|4783|5847,293,61
6/13/2023,XSMN,Vũng Tàu,975540,97,40,,27912,11201|33508,85864|66485|71899|95904|23621|45256|12605,2550,5202|2619|7256,849,72
6/13/2023,XSMN,Bạc Liêu,485154,48,54,,68950,04120|26844,64385|33638|17427|25476|50992|44244|94066,4956,5188|2603|1052,648,30
6/14/2023,XSMN,Đồng Nai,67586,6,86,,59294,38683|53841,19488|76063|09276|20397|04704|05779|96666,7736,6022|1457|4059,740,20
6/14/2023,XSMN,Cần Thơ,295049,29,49,,24515,12716|83138,43031|08583|29298|29375|00056|96310|45600,8394,7918|9155|5037,757,61
6/14/2023,XSMN,Sóc Trăng,608509,60,9,,59219,29058|71350,16302|43101|05173|56981|12443|12853|44723,3360,1104|3249|3063,977,86
6/15/2023,XSMN,Tây Ninh,277089,27,89,,32041,62309|73147,90142|54091|69932|00636|46343|67168|79026,1199,3513|8199|7507,943,7
6/15/2023,XSMN,An Giang,554719,55,19,,29335,52592|70776,25159|60607|61261|42888|40402|10174|09986,1665,1489|3332|9603,166,87
6/15/2023,XSMN,Bình Thuận,828571,82,71,,52582,41611|14913,77332|80863|05222|26460|15621|21180|51514,7417,1020|6166|5403,569,31
6/16/2023,XSMN,Vĩnh Long,560539,56,39,,12239,28321|38365,44056|00468|77245|52787|46474|17417|13748,2387,1163|7231|6442,416,54
6/16/2023,XSMN,Bình Dương,861968,86,68,,65598,43914|04147,34279|63032|50997|98713|29854|60789|11191,4645,8264|3780|1563,250,28
6/16/2023,XSMN,Trà Vinh,954659,95,59,,94149,16042|23482,45137|76263|94370|71944|18067|98045|97114,4498,4672|8858|1709,264,42
6/17/2023,XSMN,TPHCM,499222,49,22,,82037,70441|01559,74085|13484|72539|50617|00713|38402|48913,1524,2409|6873|6715,562,34
6/17/2023,XSMN,Long An,345580,34,80,,24708,19350|36921,54115|25790|45669|21365|62193|01113|72175,526,1280|3904|7437,8,65
6/17/2023,XSMN,Bình Phước,564502,56,2,,95239,71037|24210,23820|51271|17210|23355|67427|82310|19260,3105,2004|1214|3308,409,83
6/17/2023,XSMN,Hậu Giang,149903,14,3,,95925,08318|26897,14378|54844|51259|49136|56201|52727|33373,6745,2185|1652|3151,990,81
6/18/2023,XSMN,Tiền Giang,21247,2,47,,67097,97093|64630,64075|55312|81922|94540|27965|99574|98185,6922,4615|5573|9103,948,30
6/18/2023,XSMN,Kiên Giang,760439,76,39,,331,46082|87917,02660|98600|91507|70136|89427|36695|23755,1141,0940|4122|1978,156,26
6/18/2023,XSMN,Đà Lạt,91816,9,16,,2913,41148|72013,43299|00692|40736|69002|42165|14608|51238,9714,4683|2468|6401,196,12
6/19/2023,XSMN,TPHCM,778938,77,38,,86133,31672|43232,43862|67801|92241|85466|46065|40902|38663,6655,2970|1367|6236,633,80
6/19/2023,XSMN,Đồng Tháp,828376,82,76,,9838,86983|06109,23453|51430|58565|47904|40672|24550|80429,8343,6177|3309|0944,398,7
6/19/2023,XSMN,Cà Mau,724263,72,63,,21229,27088|54684,32119|84865|74687|72425|27229|09364|82138,5779,9796|8901|9029,100,89
6/20/2023,XSMN,Bến Tre,239446,23,46,,50798,95930|71233,27091|70538|30256|54891|34716|16366|77464,129,4798|4055|6040,493,56
6/20/2023,XSMN,Vũng Tàu,320941,32,41,,26547,23123|12657,32297|16251|44281|10719|27403|54738|13428,974,5916|8271|9831,293,86
6/20/2023,XSMN,Bạc Liêu,901983,90,83,,97761,49691|13608,02692|43468|25658|65989|97821|81118|94613,7985,7845|4183|2074,623,23
6/21/2023,XSMN,Đồng Nai,87005,8,5,,94208,84533|43748,84705|52119|18464|88492|00329|37714|47430,6215,4798|2471|0487,834,88
6/21/2023,XSMN,Cần Thơ,421586,42,86,,80072,30166|79373,02891|41782|19373|82064|28026|69036|12127,9583,5929|9603|1804,458,99
